"anly_mapped_zipcode","accession_to_result","accession_to_result","accession_to_result","accession_to_result","accession_to_result_than_1","accession_to_result_than_1"
"06249",0.993127147766323,1,0,1,250,291
"06250",1.132701421800948,1,0,1,171,211
"06251",1,1,1,1,1,1
"06254",0.9571428571428572,1,0,1,58,70
"06255",1.1806451612903226,1,1,1,118,155
"06256",0.7216494845360825,1,0,1,89,97
"06258",1.2380952380952381,1,1,1,17,21
"06259",1.2822085889570551,1,1,2,122,163
"06260",1.1972222222222222,1,1,1,278,360
"06262",1.3043478260869565,1,1,1,18,23
"06263",0.7777777777777778,1,0,1,16,18
"06264",0.7142857142857143,1,0,1,19,21
"06266",0.7317073170731707,1,0,1,39,41
"06267",0.5,0,0,1,2,2
"06268",1.3542435424354244,1,0,1,206,271
"06269",3.1666666666666665,3,2,4,19,120
"06277",1.2947976878612717,1,1,1,131,173
"06278",1.1544117647058822,1,0,2,100,136
"06279",1.4065934065934067,1,0,1,140,182
"06280",1.0044444444444445,1,0,1,200,225
"06281",1.4115226337448559,1,1,2,172,243
"06282",1.1818181818181819,1,1,1,33,44
"06283",0,0,0,0,1,1
"06287",0,0,0,0,1,1
"06320",0.9387442572741195,1,0,1,2743,3265
"06330",0.9774436090225563,1,0,1,112,133
"06331",0.9125,1,0,1,137,160
"06332",0.9714285714285714,1,0,1,30,35
"06333",0.9255583126550868,0,0,1,333,403
"06334",0.7524752475247525,1,0,1,94,101
"06335",0.8157894736842105,0,0,1,251,304
"06336",1,1,1,1,1,1
"06338",0.4782608695652174,0,0,1,22,23
"06339",0.7132867132867133,0,0,1,373,429
"06340",0.7560598246518824,0,0,1,1655,1939
"06349",0.8888888888888888,0,0,1,8,9
"06350",0.8823529411764706,1,0,1,13,17
"06351",1.015256588072122,1,0,1,581,721
"06353",1.0454545454545454,0,0,1,19,22
"06354",0.8491379310344828,1,0,1,202,232
"06355",0.6780973451327433,0,0,1,795,904
"06357",1.0035285815102328,1,0,1,1125,1417
"06359",0.5574468085106383,0,0,1,210,235
"06360",0.9082943925233645,1,0,1,1466,1712
"06365",1.117117117117117,1,0,1,169,222
"06370",0.8233333333333334,0,0,1,258,300
"06371",0.9831649831649831,1,0,1,479,594
"06372",1,0,0,1,6,8
"06373",0.9230769230769231,1,1,1,11,13
"06374",1.0031347962382444,1,0,1,262,319
"06375",0.8304347826086956,0,0,1,194,230
"06376",1.5789473684210527,1,0,3,12,19
"06377",0.9782608695652174,1,0,1,76,92
"06378",0.7942122186495176,0,0,1,270,311
"06379",0.5193965517241379,0,0,1,416,464
"06380",1.0381679389312977,1,0,1,104,131
"06382",0.9635416666666666,1,0,1,641,768
"06383",2.6666666666666665,1,0,7,2,3
"06384",0.7634408602150538,0,0,1,79,93
"06385",0.7797927461139896,0,0,1,1000,1158
"06386",3,3,3,3,0,1
"06387",0.9024390243902439,1,1,1,37,41
"06388",0.2,0,0,0,5,5
