"anly_mapped_zipcode","collection_to_report","collection_to_report","collection_to_report","collection_to_report","collection_to_report_less_than_1","collection_to_report_less_than_1"
"06455",0,0,0,0,1,1
"06457",0,0,0,0,5,5
"06458",0,0,0,0,1,1
"06460",0,0,0,0,4,4
"06468",1.4545454545454546,2,0,3,5,11
"06469",3,3,3,3,0,1
"06470",0.875,1,1,1,16,16
"06471",0,0,0,0,9,9
"06472",0,0,0,0,2,2
"06473",0,0,0,0,1,1
"06475",0.5,0,0,1,2,2
"06477",1.1666666666666667,1,1,2,4,6
"06482",0,0,0,0,4,4
"06483",0,0,0,0,2,2
"06484",1,1,0,2,2,3
"06488",0,0,0,0,1,1
"06489",0.3333333333333333,0,0,1,3,3
"06492",0.25,0,0,0,4,4
"06498",0,0,0,0,8,8
"06510",0,0,0,0,1,1
"06511",0.6666666666666666,1,0,1,6,6
"06512",0,0,0,0,6,6
"06513",0,0,0,0,8,8
"06514",4,4,4,4,0,4
"06515",0,0,0,0,3,3
"06516",0.375,0,0,0,7,8
"06517",0.75,1,0,1,4,4
"06518",0,0,0,0,2,2
"06604",0,0,0,0,6,6
"06605",0,0,0,0,1,1
"06606",0,0,0,0,1,1
"06607",0,0,0,0,1,1
"06610",0,0,0,0,5,5
"06611",0.09090909090909091,0,0,0,11,11
"06612",0,0,0,0,2,2
"06614",0,0,0,0,3,3
"06615",0,0,0,0,3,3
"06705",0,0,0,0,2,2
"06706",0,0,0,0,1,1
"06708",0,0,0,0,8,8
"06712",0,0,0,0,1,1
"06716",0,0,0,0,1,1
"06750",1,1,1,1,1,1
"06770",0,0,0,0,3,3
"06776",0,0,0,0,11,11
"06777",0,0,0,0,3,3
"06783",0,0,0,0,1,1
"06785",1,1,1,1,2,2
"06790",6,6,6,6,0,1
"06795",0,0,0,0,3,3
"06798",0,0,0,0,1,1
"06804",0,0,0,0,6,6
"06810",0.25,0,0,0,7,8
"06811",0,0,0,0,8,8
"06812",0.375,0,0,1,8,8
"06820",1,1,0,1,6,8
"06824",0.42857142857142855,0,0,0,6,7
"06825",1.1666666666666667,0,0,3,4,6
"06830",0.1111111111111111,0,0,0,9,9
"06831",1.1818181818181819,0,0,3,8,11
"06840",0.45454545454545453,0,0,1,10,11
"06850",0,0,0,0,2,2
"06851",0.6666666666666666,1,0,1,3,3
"06854",0,0,0,0,1,1
"06855",0,0,0,0,2,2
"06870",0,0,0,0,4,4
"06877",0.16666666666666666,0,0,0,6,6
"06878",2,2,2,2,0,2
"06880",0.9285714285714286,0,0,2,10,14
"06883",0,0,0,0,1,1
"06890",0,0,0,0,1,1
"06896",4,4,4,4,0,1
"06897",8.571428571428571,0,0,1,6,7
"06901",0,0,0,0,8,8
"06902",3,0,0,0,6,8
"06903",1.25,1,0,1,9,12
"06905",0.4,0,0,1,5,5
"06906",1.3333333333333333,2,0,2,1,3
"06907",0,0,0,0,1,1
"07001",0.6666666666666666,0,0,2,2,3
"07002",0,0,0,0,11,11
"07003",0,0,0,0,1,1
"07004",0,0,0,0,1,1
"07005",1.8,1,1,1,4,5
"07006",3.375,6,0,6,7,16
